(laparoscopic) adjustment of size of adjustable gastric restrictive device;ICD9:44.98;Surgical Procedure                               
Bilateral inguinal hernia repair with graft or prosthesis, not otherwise specified;ICD9:53.17;Surgical Procedure                       
Bilateral lung transplantation;ICD9:33.52;Surgical Procedure                                                                           
Bilateral repair of femoral hernia with graft or prosthesis;ICD9:53.31;Surgical Procedure                                              
Bilateral repair of femoral hernia;ICD9:53.3;Surgical Procedure                                                                        
Bilateral repair of inguinal hernia, not otherwise specified;ICD9:53.10;Surgical Procedure                                             
Biopsy of abdominal wall or umbilicus;ICD9:54.22;Surgical Procedure                                                                    
Biopsy of anus;ICD9:49.23;Surgical Procedure                                                                                           
Biopsy of chest wall;ICD9:34.23;Surgical Procedure                                                                                     
Biopsy of diaphragm;ICD9:34.27;Surgical Procedure                                                                                      
Biopsy of perianal tissue;ICD9:49.22;Surgical Procedure                                                                                
Biopsy of perirectal tissue;ICD9:48.26;Surgical Procedure                                                                              
Biopsy of peritoneum;ICD9:54.23;Surgical Procedure                                                                                     
Biphasic mesothelioma;SNOMED:30383009;Histological Type                                                                                
Bones;SNOMED:123037004;Site of tumor                                                                                                   
Brain & CNS;SNOMED:389111004;Site of tumor                                                                                             
Breast;SNOMED:181131000;Site of tumor                                                                                                  
Bronchial dilation;ICD9:33.91;Surgical Procedure                                                                                       
Bronchopulmonary segment;SNOMED:72674008;Site of tumor                                                                                 
Bronchoscopic bronchial thermoplasty, ablation of airway smooth muscle;ICD9:32.27;Surgical Procedure                                   
Bronchoscopy through artificial stoma;ICD9:33.21;Surgical Procedure                                                                    
CD10;LOINC:51214-5;Immunohistochemical Profile                                                                                         
CD31;LOINC:47015-3;Immunohistochemical Profile                                                                                         
CD44S;LOINC:17155-3;Immunohistochemical Profile                                                                                        
CEA;LOINC:2039-6;Immunohistochemical Profile                                                                                           
CK20;LOINC:40558-9;Immunohistochemical Profile                                                                                         
CK5/6;LOINC:47025-2;Immunohistochemical Profile                                                                                        
CK7;LOINC:40559-7;Immunohistochemical Profile                                                                                          
Calretinin;MESO:010;Immunohistochemical Profile                                                                                        
Cannulation of pancreatic duct;ICD9:52.92;Surgical Procedure                                                                           
Cauterization of hemorrhoids;ICD9:49.43;Surgical Procedure                                                                             
Cervical Pleura;SNOMED:202395000;Site of tumor                                                                                         
Cervical esophagostomy;ICD9:42.11;Surgical Procedure                                                                                   
Cervix Uteri;SNOMED:181453009;Site of tumor                                                                                            
Cholecystectomy;ICD9:51.22;Surgical Procedure                                                                                          
Cholecystectomy;ICD9:51.2;Surgical Procedure                                                                                           
Cholecystotomy and cholecystostomy;ICD9:51.0;Surgical Procedure                                                                        
Choledochoenterostomy;ICD9:51.36;Surgical Procedure                                                                                    
Choledochoplasty;ICD9:51.72;Surgical Procedure                                                                                         
Closed (percutaneous) [needle] biopsy of liver;ICD9:50.11;Surgical Procedure                                                           
Closed [aspiration] [needle] [percutaneous] biopsy of pancreas;ICD9:52.11;Surgical Procedure                                           
Closed [endoscopic] biopsy of bronchus;ICD9:33.24;Surgical Procedure                                                                   
Closed [endoscopic] biopsy of esophagus;ICD9:42.24;Surgical Procedure                                                                  
Closed [endoscopic] biopsy of large intestine;ICD9:45.25;Surgical Procedure                                                            
Closed [endoscopic] biopsy of larynx;ICD9:31.43;Surgical Procedure                                                                     
Closed [endoscopic] biopsy of pancreatic duct;ICD9:52.14;Surgical Procedure                                                            
Closed [endoscopic] biopsy of rectum;ICD9:48.24;Surgical Procedure                                                                     
Closed [endoscopic] biopsy of small intestine;ICD9:45.14;Surgical Procedure                                                            
Closed [endoscopic] biopsy of stomach;ICD9:44.14;Surgical Procedure                                                                    
Closed [endoscopic] biopsy of trachea;ICD9:31.44;Surgical Procedure                                                                    
Closed [percutaneous] [needle] biopsy of intra-abdominal mass;ICD9:54.24;Surgical Procedure                                            
Closed [percutaneous] [needle] biopsy of lung;ICD9:33.26;Surgical Procedure                                                            
Closed [percutaneous] [needle] biopsy of mediastinum;ICD9:34.25;Surgical Procedure                                                     
Closed aspiration needle percutaneous biopsy of pancreas;ICD9:52.11;Surgical Procedure                                                 
Closed endoscopic biopsy of bronchus;ICD9:33.24;Surgical Procedure                                                                     
Closed endoscopic biopsy of esophagus;ICD9:42.24;Surgical Procedure                                                                    
Closed endoscopic biopsy of large intestine;ICD9:45.25;Surgical Procedure                                                              
Closed endoscopic biopsy of larynx;ICD9:31.43;Surgical Procedure                                                                       
Closed endoscopic biopsy of lung;ICD9:33.27;Surgical Procedure                                                                         
Closed endoscopic biopsy of pancreatic duct;ICD9:52.14;Surgical Procedure                                                              
Closed endoscopic biopsy of rectum;ICD9:48.24;Surgical Procedure                                                                       
Closed endoscopic biopsy of small intestine;ICD9:45.14;Surgical Procedure                                                              
Closed endoscopic biopsy of stomach;ICD9:44.14;Surgical Procedure                                                                      
Closed endoscopic biopsy of trachea;ICD9:31.44;Surgical Procedure                                                                      
Closed percutaneous needle biopsy of intra-abdominal mass;ICD9:54.24;Surgical Procedure                                                
Closed percutaneous needle biopsy of liver;ICD9:50.11;Surgical Procedure                                                               
Closed percutaneous needle biopsy of lung;ICD9:33.26;Surgical Procedure                                                                
Closed percutaneous needle biopsy of mediastinum;ICD9:34.25;Surgical Procedure                                                         
Closure of anal fistula;ICD9:49.73;Surgical Procedure                                                                                  
Closure of appendiceal fistula;ICD9:47.92;Surgical Procedure                                                                           
Closure of bronchial fistula;ICD9:33.42;Surgical Procedure                                                                             
Closure of cholecystostomy;ICD9:51.92;Surgical Procedure                                                                               
Closure of esophagostomy;ICD9:42.83;Surgical Procedure                                                                                 
Closure of external fistula of trachea;ICD9:31.72;Surgical Procedure                                                                   
Closure of fistula of diaphragm;ICD9:34.83;Surgical Procedure                                                                          
Closure of fistula of duodenum;ICD9:46.72;Surgical Procedure                                                                           
Closure of fistula of large intestine;ICD9:46.76;Surgical Procedure                                                                    
Closure of fistula of larynx;ICD9:31.62;Surgical Procedure                                                                             
Closure of fistula of small intestine, except duodenum;ICD9:46.74;Surgical Procedure                                                   
Closure of gastrostomy;ICD9:44.62;Surgical Procedure                                                                                   
Closure of intestinal stoma, not otherwise specified;ICD9:46.50;Surgical Procedure                                                     
Closure of intestinal stoma;ICD9:46.5;Surgical Procedure                                                                               
Closure of laceration of liver;ICD9:50.61;Surgical Procedure                                                                           
Closure of laceration of lung;ICD9:33.43;Surgical Procedure                                                                            
Closure of other biliary fistula;ICD9:51.93;Surgical Procedure                                                                         
Closure of other fistula of thorax;ICD9:34.73;Surgical Procedure                                                                       
Closure of other fistula of trachea;ICD9:31.73;Surgical Procedure                                                                      
Closure of other gastric fistula;ICD9:44.63;Surgical Procedure                                                                         
Closure of other rectal fistula;ICD9:48.73;Surgical Procedure                                                                          
Closure of proctostomy;ICD9:48.72;Surgical Procedure                                                                                   
Closure of stoma of large intestine;ICD9:46.52;Surgical Procedure                                                                      
Closure of stoma of small intestine;ICD9:46.51;Surgical Procedure                                                                      
Closure of thoracostomy;ICD9:34.72;Surgical Procedure                                                                                  
Colon;SNOMED:372174009;Site of tumor                                                                                                   
Colonoscopy;ICD9:45.23;Surgical Procedure                                                                                              
Colostomy, not otherwise specified;ICD9:46.10;Surgical Procedure                                                                       
Colostomy;ICD9:46.1;Surgical Procedure                                                                                                 
Combined heart-lung transplantation;ICD9:33.6;Surgical Procedure                                                                       
Common duct exploration for relief of other obstruction;ICD9:51.42;Surgical Procedure                                                  
Common duct exploration for removal of calculus;ICD9:51.41;Surgical Procedure                                                          
Complete laryngectomy;ICD9:30.3;Surgical Procedure                                                                                     
Continent ileostomy;ICD9:46.22;Surgical Procedure                                                                                      
Control of (postoperative) hemorrhage of anus;ICD9:49.95;Surgical Procedure                                                            
Control of hemorrhage and suture of ulcer of stomach or duodenum;ICD9:44.4;Surgical Procedure                                          
Control of postoperative hemorrhage of anus;ICD9:49.95;Surgical Procedure                                                              
Corpus Uteri;SNOMED:396311006;Site of tumor                                                                                            
Costal Pleura;SNOMED:368060008;Site of tumor                                                                                           
Creation of cutaneoperitoneal fistula;ICD9:54.93;Surgical Procedure                                                                    
Creation of peritoneovascular shunt;ICD9:54.94;Surgical Procedure                                                                      
Creation of pleuroperitoneal shunt;ICD9:34.05;Surgical Procedure                                                                       
Cystic mesothelioma;SNOMED:86562005;Histological Type                                                                                  
Cystic;SNOMED:369746007;Tumor Configuration                                                                                            
D2-40;LOINC:73909-4;Immunohistochemical Profile                                                                                        
Decortication of lung;ICD9:34.51;Surgical Procedure                                                                                    
Delayed closure of granulating abdominal wound;ICD9:54.62;Surgical Procedure                                                           
Delayed opening of colostomy;ICD9:46.14;Surgical Procedure                                                                             
Delayed opening of ileostomy;ICD9:46.24;Surgical Procedure                                                                             
Delayed opening of other enterostomy;ICD9:46.31;Surgical Procedure                                                                     
Desmoplastic mesothelioma;SNOMED:388650006;Histological Type                                                                           
Destruction of hemorrhoids by cryotherapy;ICD9:49.44;Surgical Procedure                                                                
Destruction of phrenic nerve for collapse of lung;ICD9:33.31;Surgical Procedure                                                        
Destruction of rectal lesion or tissue by cryosurgery;ICD9:48.34;Surgical Procedure                                                    
Destruction of rectal lesion or tissue by laser;ICD9:48.33;Surgical Procedure                                                          
Diagnostic procedures of abdominal region;ICD9:54.2;Surgical Procedure                                                                 
Diagnostic procedures on anus and perianal tissue;ICD9:49.2;Surgical Procedure                                                         
Diagnostic procedures on biliary tract;ICD9:51.1;Surgical Procedure                                                                    
Diagnostic procedures on chest wall, pleura, mediastinum, and diaphragm;ICD9:34.2;Surgical Procedure                                   
Diagnostic procedures on esophagus;ICD9:42.2;Surgical Procedure                                                                        
Diagnostic procedures on large intestine;ICD9:45.2;Surgical Procedure                                                                  
Diagnostic procedures on larynx and trachea;ICD9:31.4;Surgical Procedure                                                               
Diagnostic procedures on liver;ICD9:50.1;Surgical Procedure                                                                            
Diagnostic procedures on lung and bronchus;ICD9:33.2;Surgical Procedure                                                                
Diagnostic procedures on pancreas;ICD9:52.1;Surgical Procedure                                                                         
Diagnostic procedures on rectum, rectosigmoid and perirectal tissue;ICD9:48.2;Surgical Procedure                                       
Diagnostic procedures on small intestine;ICD9:45.1;Surgical Procedure                                                                  
Diagnostic procedures on stomach;ICD9:44.1;Surgical Procedure                                                                          
Diaphragmatic Pleura;SNOMED:202302008;Site of tumor                                                                                    
Diffuse;TUMOR_CONFIG:DIFFUSE;Tumor Configuration                                                                                       
Dilation and manipulation of intestine;ICD9:46.8;Surgical Procedure                                                                    
Dilation of esophagus;ICD9:42.92;Surgical Procedure                                                                                    
Dilation of intestine;ICD9:46.85;Surgical Procedure                                                                                    
Dilation of pylorus by incision;ICD9:44.21;Surgical Procedure                                                                          
Dilation of sphincter of oddi;ICD9:51.81;Surgical Procedure                                                                            
Distal pancreatectomy;ICD9:52.52;Surgical Procedure                                                                                    
Division of anal sphincter;ICD9:49.5;Surgical Procedure                                                                                
Division of laryngeal nerve;ICD9:31.91;Surgical Procedure                                                                              
Drainage of appendiceal abscess;ICD9:47.2;Surgical Procedure                                                                           
Drainage of pancreatic cyst by catheter;ICD9:52.01;Surgical Procedure                                                                  
Duhamel resection of rectum;ICD9:48.65;Surgical Procedure                                                                              
E-cadherin;LOINC:29540-2;Immunohistochemical Profile                                                                                   
Endophytic;SNOMED:399711005;Tumor Configuration                                                                                        
Endoscopic control of gastric or duodenal bleeding;ICD9:44.43;Surgical Procedure                                                       
Endoscopic destruction of other lesion or tissue of large intestine;ICD9:45.43;Surgical Procedure                                      
Endoscopic dilation of ampulla and biliary duct;ICD9:51.84;Surgical Procedure                                                          
Endoscopic dilation of pancreatic duct;ICD9:52.98;Surgical Procedure                                                                   
Endoscopic dilation of pylorus;ICD9:44.22;Surgical Procedure                                                                           
Endoscopic excision or destruction of lesion of biliary ducts or sphincter of oddi;ICD9:51.64;Surgical Procedure                       
Endoscopic excision or destruction of lesion of duodenum;ICD9:45.30;Surgical Procedure                                                 
Endoscopic excision or destruction of lesion or tissue of anus;ICD9:49.31;Surgical Procedure                                           
Endoscopic excision or destruction of lesion or tissue of bronchus;ICD9:32.01;Surgical Procedure                                       
Endoscopic excision or destruction of lesion or tissue of esophagus;ICD9:42.33;Surgical Procedure                                      
Endoscopic excision or destruction of lesion or tissue of lung;ICD9:32.28;Surgical Procedure                                           
Endoscopic excision or destruction of lesion or tissue of pancreatic duct;ICD9:52.21;Surgical Procedure                                
Endoscopic excision or destruction of lesion or tissue of stomach;ICD9:43.41;Surgical Procedure                                        
Endoscopic insertion of colonic stent(s);ICD9:46.86;Surgical Procedure                                                                 
Endoscopic insertion of colonic stents;ICD9:46.86;Surgical Procedure                                                                   
Endoscopic insertion of nasobiliary drainage tube;ICD9:51.86;Surgical Procedure                                                        
Endoscopic insertion of nasopancreatic drainage tube;ICD9:52.97;Surgical Procedure                                                     
Endoscopic insertion of other bronchial device or substances;ICD9:33.79;Surgical Procedure                                             
Endoscopic insertion of stent (tube) into bile duct;ICD9:51.87;Surgical Procedure                                                      
Endoscopic insertion of stent (tube) into pancreatic duct;ICD9:52.93;Surgical Procedure                                                
Endoscopic insertion of stent tube into bile duct;ICD9:51.87;Surgical Procedure                                                        
Endoscopic insertion of stent tube into pancreatic duct;ICD9:52.93;Surgical Procedure                                                  
Endoscopic insertion or replacement of bronchial valve(s), multiple lobes;ICD9:33.73;Surgical Procedure                                
Endoscopic insertion or replacement of bronchial valve(s), single lobe;ICD9:33.71;Surgical Procedure                                   
Endoscopic insertion or replacement of bronchial valves, multiple lobes;ICD9:33.73;Surgical Procedure                                  
Endoscopic insertion or replacement of bronchial valves, single lobe;ICD9:33.71;Surgical Procedure                                     
Endoscopic polypectomy of large intestine;ICD9:45.42;Surgical Procedure                                                                
Endoscopic pulmonary airway flow measurement;ICD9:33.72;Surgical Procedure                                                             
Endoscopic removal of bronchial device(s) or substances;ICD9:33.78;Surgical Procedure                                                  
Endoscopic removal of bronchial devices or substances;ICD9:33.78;Surgical Procedure                                                    
Endoscopic removal of stone(s) from biliary tract;ICD9:51.88;Surgical Procedure                                                        
Endoscopic removal of stone(s) from pancreatic duct;ICD9:52.94;Surgical Procedure                                                      
Endoscopic removal of stones from biliary tract;ICD9:51.88;Surgical Procedure                                                          
Endoscopic removal of stones from pancreatic duct;ICD9:52.94;Surgical Procedure                                                        
Endoscopic retrograde cholangiography [erc];ICD9:51.11;Surgical Procedure                                                              
Endoscopic retrograde cholangiography erc;ICD9:51.11;Surgical Procedure                                                                
Endoscopic retrograde cholangiopancreatography [ercp];ICD9:51.10;Surgical Procedure                                                    
Endoscopic retrograde cholangiopancreatography ercp;ICD9:51.10;Surgical Procedure                                                      
Endoscopic retrograde pancreatography [erp];ICD9:52.13;Surgical Procedure                                                              
Endoscopic retrograde pancreatography erp;ICD9:52.13;Surgical Procedure                                                                
Endoscopic sphincterotomy and papillotomy;ICD9:51.85;Surgical Procedure                                                                
Endoscopy of large intestine through artificial stoma;ICD9:45.22;Surgical Procedure                                                    
Endoscopy of small intestine through artificial stoma;ICD9:45.12;Surgical Procedure                                                    
Enterotomy;ICD9:45.0;Surgical Procedure                                                                                                
Entire parietal pleura;SNOMED:187338008;Site of tumor                                                                                  
Epiglottidectomy;ICD9:30.21;Surgical Procedure                                                                                         
Epithelial Membrane Antigen ;LOINC:10479-4;Immunohistochemical Profile                                                                 
Epithelial or epithelioid mesothelioma;SNOMED:65278006;Histological Type                                                               
Esophagectomy, not otherwise specified;ICD9:42.40;Surgical Procedure                                                                   
Esophagogastroduodenoscopy [egd] with closed biopsy;ICD9:45.16;Surgical Procedure                                                      
Esophagogastroduodenoscopy egd with closed biopsy;ICD9:45.16;Surgical Procedure                                                        
Esophagogastroplasty;ICD9:44.65;Surgical Procedure                                                                                     
Esophagomyotomy;ICD9:42.7;Surgical Procedure                                                                                           
Esophagoscopy through artificial stoma;ICD9:42.22;Surgical Procedure                                                                   
Esophagostomy, not otherwise specified;ICD9:42.10;Surgical Procedure                                                                   
Esophagostomy;ICD9:42.1;Surgical Procedure                                                                                             
Esophagotomy;ICD9:42.0;Surgical Procedure                                                                                              
Esophagus;SNOMED:300294009;Site of tumor                                                                                               
Evacuation of thrombosed hemorrhoids;ICD9:49.47;Surgical Procedure                                                                     
Excision of ampulla of vater (with reimplantation of common duct);ICD9:51.62;Surgical Procedure                                        
Excision of ampulla of vater with reimplantation of common duct;ICD9:51.62;Surgical Procedure                                          
Excision of anus;ICD9:49.6;Surgical Procedure                                                                                          
Excision of cystic duct remnant;ICD9:51.61;Surgical Procedure                                                                          
Excision of esophagus;ICD9:42.4;Surgical Procedure                                                                                     
Excision of hemorrhoids;ICD9:49.46;Surgical Procedure                                                                                  
Excision of larynx;ICD9:30;Surgical Procedure                                                                                          
Excision of lesion or tissue of diaphragm;ICD9:34.81;Surgical Procedure                                                                
Excision of lesion or tissue of large intestine;ICD9:45.41;Surgical Procedure                                                          
Excision of lung and bronchus;ICD9:32;Surgical Procedure                                                                               
Excision of other bile duct;ICD9:51.69;Surgical Procedure                                                                              
Excision of perianal skin tags;ICD9:49.03;Surgical Procedure                                                                           
Excision of perirectal tissue;ICD9:48.82;Surgical Procedure                                                                            
Excision or destruction of lesion of chest wall;ICD9:34.4;Surgical Procedure                                                           
Excision or destruction of lesion or tissue of abdominal wall or umbilicus;ICD9:54.3;Surgical Procedure                                
Excision or destruction of lesion or tissue of larynx;ICD9:30.0;Surgical Procedure                                                     
Excision or destruction of lesion or tissue of mediastinum;ICD9:34.3;Surgical Procedure                                                
Excision or destruction of peritoneal tissue;ICD9:54.4;Surgical Procedure                                                              
Exophytic;SNOMED:369749000;Tumor Configuration                                                                                         
Exploration of common duct;ICD9:51.51;Surgical Procedure                                                                               
Exploratory laparotomy;ICD9:54.11;Surgical Procedure                                                                                   
Exploratory thoracotomy;ICD9:34.02;Surgical Procedure                                                                                  
Exteriorization of esophageal pouch;ICD9:42.12;Surgical Procedure                                                                      
Exteriorization of intestine;ICD9:46.0;Surgical Procedure                                                                              
Exteriorization of large intestine;ICD9:46.03;Surgical Procedure                                                                       
Exteriorization of small intestine;ICD9:46.01;Surgical Procedure                                                                       
Extracorporeal hepatic assistance;ICD9:50.92;Surgical Procedure                                                                        
Fiber-optic bronchoscopy;ICD9:33.22;Surgical Procedure                                                                                 
Fibrous mesothelioma;SNOMED:54443001;Histological Type                                                                                 
Fibrous pericardium;SNOMED:243953008;Site of tumor                                                                                     
Fissure of Lung;SNOMED:278983006;Site of tumor                                                                                         
Fissure of left lung;SNOMED:278984000;Site of tumor                                                                                    
Fissure of right lung;SNOMED:278985004;Site of tumor                                                                                   
Fixation of intestine, not otherwise specified;ICD9:46.60;Surgical Procedure                                                           
Fixation of intestine;ICD9:46.6;Surgical Procedure                                                                                     
Fixation of large intestine to abdominal wall;ICD9:46.63;Surgical Procedure                                                            
Fixation of small intestine to abdominal wall;ICD9:46.61;Surgical Procedure                                                            
Flexible sigmoidoscopy;ICD9:45.24;Surgical Procedure                                                                                   
Gallbladder;SNOMED:363353009;Site of tumor                                                                                             
Gastroenterostomy without gastrectomy;ICD9:44.3;Surgical Procedure                                                                     
Gastropexy;ICD9:44.64;Surgical Procedure                                                                                               
Gastroscopy through artificial stoma;ICD9:44.12;Surgical Procedure                                                                     
Gastrostomy;ICD9:43.1;Surgical Procedure                                                                                               
Gastrotomy;ICD9:43.0;Surgical Procedure                                                                                                
Gracilis muscle transplant for anal incontinence;ICD9:49.74;Surgical Procedure                                                         
HBME-1;LOINC:50319-3;Immunohistochemical Profile                                                                                       
Head & Neck;SNOMED:255056009;Site of tumor                                                                                             
Hemilaryngectomy;ICD9:30.1;Surgical Procedure                                                                                          
Hepatotomy;ICD9:50.0;Surgical Procedure                                                                                                
Heterotransplant of pancreas;ICD9:52.83;Surgical Procedure                                                                             
High gastric bypass;ICD9:44.31;Surgical Procedure                                                                                      
High;SNOMED:399611001;Tumor Differentiation                                                                                            
Highly selective vagotomy;ICD9:44.02;Surgical Procedure                                                                                
Hilum of Left Lung;SNOMED:361983000;Site of tumor                                                                                      
Hilum of Lung;SNOMED:264017007;Site of tumor                                                                                           
Hilum of Right Lung;SNOMED:361968005;Site of tumor                                                                                     
Histological Type;;Histological Type                                                                                                   
Homotransplant of pancreas;ICD9:52.82;Surgical Procedure                                                                               
Horizontal interlobar fissure of right lung;SNOMED:83067000;Site of tumor                                                              
ICD-9-CM Procedures;(null);Surgical Procedure                                                                                          
Ileostomy, not otherwise specified;ICD9:46.20;Surgical Procedure                                                                       
Ileostomy;ICD9:46.2;Surgical Procedure                                                                                                 
Immunohistochemical Profile;;Immunohistochemical Profile                                                                               
Implantation of diaphragmatic pacemaker;ICD9:34.85;Surgical Procedure                                                                  
Implantation or revision of artificial anal sphincter;ICD9:49.75;Surgical Procedure                                                    
Incidental appendectomy;ICD9:47.1;Surgical Procedure                                                                                   
Incision and excision of stomach;ICD9:43;Surgical Procedure                                                                            
Incision of abdominal wall;ICD9:54.0;Surgical Procedure                                                                                
Incision of anal septum;ICD9:49.91;Surgical Procedure                                                                                  
Incision of bile duct for relief of obstruction;ICD9:51.4;Surgical Procedure                                                           
Incision of bronchus;ICD9:33.0;Surgical Procedure                                                                                      
Incision of chest wall and pleura;ICD9:34.0;Surgical Procedure                                                                         
Incision of chest wall;ICD9:34.01;Surgical Procedure                                                                                   
Incision of duodenum;ICD9:45.01;Surgical Procedure                                                                                     
Incision of esophageal web;ICD9:42.01;Surgical Procedure                                                                               
Incision of intestine, not otherwise specified;ICD9:45.00;Surgical Procedure                                                           
Incision of large intestine;ICD9:45.03;Surgical Procedure                                                                              
Incision of lung;ICD9:33.1;Surgical Procedure                                                                                          
Incision of mediastinum;ICD9:34.1;Surgical Procedure                                                                                   
Incision of other bile ducts for relief of obstruction;ICD9:51.49;Surgical Procedure                                                   
Incision of perianal abscess;ICD9:49.01;Surgical Procedure                                                                             
Incision of perirectal tissue;ICD9:48.81;Surgical Procedure                                                                            
Incision of peritoneum;ICD9:54.95;Surgical Procedure                                                                                   
Incision of rectal stricture;ICD9:48.91;Surgical Procedure                                                                             
Incision or excision of anal fistula;ICD9:49.1;Surgical Procedure                                                                      
Incision or excision of perianal tissue;ICD9:49.0;Surgical Procedure                                                                   
Incision or excision of perirectal tissue or lesion;ICD9:48.8;Surgical Procedure                                                       
Incision, excision, and anastomosis of intestine;ICD9:45;Surgical Procedure                                                            
Incisional hernia repair;ICD9:53.51;Surgical Procedure                                                                                 
Indeterminate;SNOMED:384741006;Tumor Differentiation                                                                                   
Injection into thoracic cavity;ICD9:34.92;Surgical Procedure                                                                           
Injection of air into peritoneal cavity;ICD9:54.96;Surgical Procedure                                                                  
Injection of hemorrhoids;ICD9:49.42;Surgical Procedure                                                                                 
Injection of larynx;ICD9:31.0;Surgical Procedure                                                                                       
Injection of locally-acting therapeutic substance into peritoneal cavity;ICD9:54.97;Surgical Procedure                                 
Injection of locally-acting therapeutic substance into trachea;ICD9:31.94;Surgical Procedure                                           
Insertion of choledochohepatic tube for decompression;ICD9:51.43;Surgical Procedure                                                    
Insertion of gastric bubble (balloon);ICD9:44.93;Surgical Procedure                                                                    
Insertion of gastric bubble balloon;ICD9:44.93;Surgical Procedure                                                                      
Insertion of intercostal catheter for drainage;ICD9:34.04;Surgical Procedure                                                           
Insertion of permanent tube into esophagus;ICD9:42.81;Surgical Procedure                                                               
Insertion of subcutaneous electrical anal stimulator;ICD9:49.92;Surgical Procedure                                                     
Intermediate;SNOMED:373377004;Tumor Differentiation                                                                                    
Internal drainage of pancreatic cyst;ICD9:52.4;Surgical Procedure                                                                      
Interstitial tissue of lung;SNOMED:113254000;Site of tumor                                                                             
Intestinal anastomosis, not otherwise specified;ICD9:45.90;Surgical Procedure                                                          
Intestinal anastomosis;ICD9:45.9;Surgical Procedure                                                                                    
Intestinal biopsy, site unspecified;ICD9:45.27;Surgical Procedure                                                                      
Intra-abdominal manipulation of intestine, not otherwise specified;ICD9:46.80;Surgical Procedure                                       
Intra-abdominal manipulation of large intestine;ICD9:46.82;Surgical Procedure                                                          
Intra-abdominal manipulation of small intestine;ICD9:46.81;Surgical Procedure                                                          
Intraoperative manipulation of stomach;ICD9:44.92;Surgical Procedure                                                                   
Intrathoracic anastomosis of esophagus;ICD9:42.5;Surgical Procedure                                                                    
Intrathoracic esophageal anastomosis with interposition of colon;ICD9:42.55;Surgical Procedure                                         
Intrathoracic esophageal anastomosis with interposition of small bowel;ICD9:42.53;Surgical Procedure                                   
Intrathoracic esophageal anastomosis with other interposition;ICD9:42.58;Surgical Procedure                                            
